pdb_id,gap_paired,gap_isolated,weakened_without_partner
1B4U,-0.18065278756965109,0.11447804949257323,True
1BOU,-0.21777224920578608,0.10695720111705809,True
1BWU,0.08205792579797233,0.11651144200918218,True
1FS2,-0.12375583798152534,0.11938134010587387,True
1HL6,0.05890865774533682,0.050046544100535106,False
1I7Q,-0.3643994614420356,0.19041917842706657,True
1I7S,-0.2044307609932403,0.19767519096645625,True
1I8L,-0.5848069776097674,0.10753461659181984,True
1IZN,0.2732125783531465,0.11463603706333059,False
1KJ1,-0.5108373510655912,0.037615352280317094,True
1O9S,-0.05418809610004116,0.0913716683529433,True
1P27,0.09114693143789432,0.0779042900727096,False
1PXV,0.12178016472206488,0.10857298008413419,False
1QBK,-0.0014311012010705948,0.07179624451979705,True
1R5I,-0.2437523283748242,-0.1209428461898927,True
1SG1,-0.20695911007377998,0.07784731538312539,True
1TO9,-0.18470485968632078,0.012848771767579148,True
1X27,-0.0451086797993665,0.07014884159843837,True
1XQH,-0.2294853389011644,0.09129550825865729,True
1Y4H,-0.03621668874934336,0.0026337860232723553,True
2AST,-0.21689143774641595,0.17955808225750713,True
2D7D,-0.13301546448447987,-0.02820857306969593,True
2H9A,-0.24038050609657668,0.08685642432122731,True
2NMV,-0.30359484717059027,-0.009072647039451542,True
2OJE,-0.24232657475988018,-0.075665689955138,True
2R9Q,0.021332556688178794,0.15903582550500706,True
2VJE,0.4605843531323581,0.21850533581031395,False
2Y8S,-0.14891499658296348,0.07860870065467074,True
2Y8T,-0.21210341268058985,-0.00816453412221052,True
2ZXE,-0.1897678932139759,0.04840449878593445,True
3A3Y,-0.2972779626844939,0.09439963343036095,True
3AAA,-0.26640771975035693,0.10049323857575176,True
3BH6,-0.04465851971831025,0.07394238613408843,True
3BH7,-0.21490292467649108,0.07961428097729306,True
3BUK,0.045675506198472604,0.08171871799653685,True
3GDU,-0.691714201429329,-0.10749160510409639,True
3GDV,-0.7229493848152387,0.056092890988760136,True
3GJO,0.3777723692591304,0.013073133762788736,False
3MTU,-0.41958238221756505,0.03291526878364637,True
3NDB,0.026297018857924126,0.04187961942366458,True
3PNL,-0.19912329364615222,0.2702543878550949,True
3R2C,-0.14524576251625,-0.0479957609865469,True
3TFY,-0.15596059058632838,-0.054417964338769664,True
3UA7,-0.3929148919387918,-0.020310142411277265,True
