definition,mean_absolute_error,median_absolute_error,max_absolute_error,mean_signed_error,fraction_within_tolerance,tolerance,n_designs
simple_KR_minus_DE,0.0,0.0,0.0,0.0,1.0,0.51,275
ph7.4_emboss_no_cys_tyr,0.14850009103493567,0.0877172306812497,1.0747035812090733,0.10045539921476762,0.9672727272727273,0.51,275
ph7.0_bjellqvist,0.20604651328475007,0.18843317326286524,0.6811602230727729,-0.07676871692504829,0.9745454545454545,0.51,275
ph7.4_emboss_no_termini,0.26328790292930365,0.13267989052945595,1.95560417668068,-0.09294424699765591,0.8654545454545455,0.51,275
ph7.4_emboss,0.27784285922500646,0.15182934316717933,2.01479665557909,-0.15213672589606034,0.850909090909091,0.51,275
ph7.0_emboss,0.3365282526296581,0.1858080285293795,2.326701461619958,0.2450659511272489,0.7636363636363637,0.51,275
ph7.4_bjellqvist,0.5230776243679504,0.4904045754452184,1.2973505942742634,-0.5230776243679504,0.5454545454545454,0.51,275
